service,created_at,updated_at,day,latencies
12047,2023-03-19 15:00:39.973 -0300,2023-03-19 15:59:40.745 -0300,2023-03-19 15:59:40.658 -0300,"6895,6169,8580,11341,7138,9519,8547,8481,13474,7183,8453,8803,7365,7148,6074,6267,7499,8614,6542,9958,8205,8088,7534,9011,10383,7507,7358,10653,7830,6394,7034,7628,8164,7128,6371,7978,6486,8811,6390,8241,7567,6936,8731,6400,5221,6662,32091,10852,8001,7606,7069,90625,8462,9782,9746,8939,23385,17640,11895,7885"
12047,2023-03-19 19:00:39.207 -0300,2023-03-19 19:59:38.381 -0300,2023-03-19 19:59:38.241 -0300,"6303,7278,5815,6662,6232,9514,7406,12980,8663,13888,9882,7439,5783,7894,7031,28136,8987,9540,6714,5519,7047,6317,8921,14826,7222,6727,18898,7896,8570,19809,7478,5797,4974,7183,7638,8281,8360,7555,6303,6681,535032,5941,7109,8146,23866,7736,16800,136045,7875,7168,29710,32340,7257,6924,8778,7133,9463,5660,6377,7804"
12047,2023-03-20 01:00:38.398 -0300,2023-03-20 01:59:38.375 -0300,2023-03-20 01:59:38.259 -0300,"9919,7299,6507,10793,10495,8516,7455,7641,7258,23542,9470,8242,137865,11593,5463,9391,9347,7357,10687,41248,33241,7105,6363,7004,6663,14554,8187,8329,7544,17193,8803,7681,7170,10317,10090,6983,12402,6905,12830,9022,8044,7753,10730,12569,7569,8163,6046,5304,7462,14534,11033,8568,8595,14437,8737,6023,7498,7081,8699,6434"
12047,2023-03-19 17:00:38.957 -0300,2023-03-19 17:59:39.326 -0300,2023-03-19 17:59:39.282 -0300,"9303,13127,5800,12859,6691,8567,7123,17827,7966,7046,7546,8213,8658,15800,7411,11550,7511,8563,8544,7841,11253,8535,6838,13173,6119,8469,16002,7723,8702,7895,6776,8208,7146,7646,5143,6107,8718,8274,15577,11049,6578,8686,14643,8582,7101,9332,8894,6352,21335,6320,7594,9381,7803,7314,5980,11926,10499,7411,7267,6206"
12047,2023-03-20 11:00:38.868 -0300,2023-03-20 11:59:42.586 -0300,2023-03-20 11:59:38.299 -0300,"7321,21876,11490,9777,7570,6591,8008,10356,9989,7306,7255,6398,6371,17920,8369,9741,7737,6276,8092,8387,7077,7990,8490,8839,8214,7631,10782,12161,8732,8818,23012,22722,7315,7227,12541,31918,10618,14800,28684,8014,40555,8128,7877,9839,9628,6211,7850,9192,9681,15244,8758,7409,8449,7958,6506,6323,8706,8277,8460,6599"
12047,2023-03-20 04:00:38.517 -0300,2023-03-20 04:59:41.580 -0300,2023-03-20 04:59:41.471 -0300,"8130,7447,9912,7516,8284,7401,5986,7479,7501,8165,10456,7772,14011,10961,9396,6824,7023,11744,9086,5828,6876,18497,6020,7686,6393,8285,6180,7507,6054,7477,21980,7332,6682,7718,9514,5763,6557,7863,9127,7237,7669,7113,5614,6840,6049,6696,7242,8476,7127,9593,8919,7887,7244,5832,6341,6134,7170,8145,11437,10559"
12047,2023-03-20 09:00:39.348 -0300,2023-03-20 09:59:38.842 -0300,2023-03-20 09:59:38.261 -0300,"13735,29516,6816,17425,6775,10822,9886,6892,8649,12187,7462,7102,8990,8626,8038,6969,19467,7703,12686,6905,8664,8494,9106,8648,7217,6791,9606,8297,8052,6982,13922,5408,8874,8204,6629,6813,10477,11693,8705,10043,14846,7005,8372,16805,8500,35168,9688,6679,5973,7209,7413,18545,5286,8070,7690,7725,8811,16104,6662,7348"
12047,2023-03-20 02:00:39.334 -0300,2023-03-20 02:59:39.000 -0300,2023-03-20 02:59:38.249 -0300,"8509,7039,13420,8154,9421,6475,12394,8600,30694,7004,6893,8774,6062,15716,7439,5926,8186,10330,9192,8778,8636,7782,6517,11142,8475,7597,9858,11656,7981,7682,8325,13191,6601,9504,7558,7211,7974,10357,6065,12735,8977,8860,9362,6366,9094,6420,8226,5430,5073,5126,8901,9332,8347,7504,7810,4918,16584,6850,7988,8987"
12047,2023-03-20 10:00:38.680 -0300,2023-03-20 10:59:38.467 -0300,2023-03-20 10:59:38.272 -0300,"36890,6714,14602,8993,11342,8039,11606,7391,7430,9752,6993,6872,8758,11793,10160,12468,12888,7537,6399,15281,6575,6745,15106,10053,7450,6654,7304,7448,7757,6540,12037,10137,15461,6229,5661,16544,8480,8505,7544,15606,6419,8539,7795,9628,9462,9518,12023,6929,8425,9587,8076,8461,9604,8523,6685,6732,11157,8703,8426,27425"
12047,2023-03-20 00:00:39.329 -0300,2023-03-20 00:59:38.427 -0300,2023-03-20 00:59:38.250 -0300,"8981,7870,6984,15243,8222,7432,7966,6828,14094,11222,9690,12340,5791,7389,9552,9861,12448,7285,7908,7529,6938,9033,8079,17186,16273,6017,8168,8112,15103,9579,8335,12060,11547,15847,22772,16174,6536,8468,11241,7042,8963,7380,9194,10340,9008,9255,9939,7337,13143,5832,6944,6990,15447,7243,8348,9752,6624,11525,9339,9812"
12047,2023-03-20 12:00:39.344 -0300,2023-03-20 12:59:38.618 -0300,2023-03-20 12:59:38.322 -0300,"7331,8574,10021,28007,6483,13219,9441,13937,10076,16613,6822,9076,12047,8407,8057,9805,7026,9317,13453,8027,7483,8102,7523,9021,6738,9095,12338,11153,11971,10254,7656,10414,8880,12599,9091,23596,66831,7369,10552,166956,18687,14036,121624,18942,23193,11168,5677,11233,15537,11382,6173,41867,102679,12314,9654,30165,9879,20664,7089,60256"
